Helsinki-NLP/opus-mt-de-cs,German to Czech
Helsinki-NLP/opus-mt-de-da,German to Danish
Helsinki-NLP/opus-mt-de-nl,German to Dutch
Helsinki-NLP/opus-mt-de-en,German to English
Helsinki-NLP/opus-mt-de-et,German to Estonian
Helsinki-NLP/opus-mt-de-fi,German to Finnish
Helsinki-NLP/opus-mt-de-fr,German to French
Helsinki-NLP/opus-mt-de-el,German to Greek
Helsinki-NLP/opus-mt-de-he,German to Hebrew
Helsinki-NLP/opus-mt-de-hu,German to Hungarian
Helsinki-NLP/opus-mt-de-is,German to Icelandic
Helsinki-NLP/opus-mt-de-it,German to Italian
Helsinki-NLP/opus-mt-de-lt,German to Lithuanian
Helsinki-NLP/opus-mt-de-mt,German to Maltese
Helsinki-NLP/opus-mt-de-no,German to Norwegian
Helsinki-NLP/opus-mt-de-pl,German to Polish
Helsinki-NLP/opus-mt-de-es,German to Spanish
Helsinki-NLP/opus-mt-de-uk,German to Ukrainian
Helsinki-NLP/opus-mt-de-vi,German to Vietnamese
Helsinki-NLP/opus-mt-el-ar,Greek to Arabic
Helsinki-NLP/opus-mt-el-fi,Greek to Finnish
Helsinki-NLP/opus-mt-el-fr,Greek to French
Helsinki-NLP/opus-mt-el-sv,Greek to Swedish
Helsinki-NLP/opus-mt-he-ar,Hebrew to Arabic
Helsinki-NLP/opus-mt-he-fi,Hebrew to Finnish
Helsinki-NLP/opus-mt-he-fr,Hebrew to French
Helsinki-NLP/opus-mt-he-de,Hebrew to German
Helsinki-NLP/opus-mt-he-it,Hebrew to Italian
Helsinki-NLP/opus-mt-he-ru,Hebrew to Russian
Helsinki-NLP/opus-mt-he-es,Hebrew to Spanish
Helsinki-NLP/opus-mt-he-sv,Hebrew to Swedish
Helsinki-NLP/opus-mt-he-uk,Hebrew to Ukrainian
Helsinki-NLP/opus-mt-hi-en,Hindi to English
Helsinki-NLP/opus-mt-hu-en,Hungarian to English
Helsinki-NLP/opus-mt-hu-fi,Hungarian to Finnish
Helsinki-NLP/opus-mt-hu-fr,Hungarian to French
Helsinki-NLP/opus-mt-hu-de,Hungarian to German
Helsinki-NLP/opus-mt-hu-sv,Hungarian to Swedish
Helsinki-NLP/opus-mt-hu-uk,Hungarian to Ukrainian
Helsinki-NLP/opus-mt-is-en,Icelandic to English
Helsinki-NLP/opus-mt-is-fi,Icelandic to Finnish
Helsinki-NLP/opus-mt-is-fr,Icelandic to French
Helsinki-NLP/opus-mt-is-de,Icelandic to German
Helsinki-NLP/opus-mt-is-it,Icelandic to Italian
Helsinki-NLP/opus-mt-is-es,Icelandic to Spanish
Helsinki-NLP/opus-mt-is-sv,Icelandic to Swedish
Helsinki-NLP/opus-mt-ga-en,Irish to English
Helsinki-NLP/opus-mt-it-ar,Italian to Arabic
Helsinki-NLP/opus-mt-it-bg,Italian to Bulgarian
Helsinki-NLP/opus-mt-it-ca,Italian to Catalan
Helsinki-NLP/opus-mt-it-en,Italian to English
Helsinki-NLP/opus-mt-it-fr,Italian to French
